"participant","subjectId","first","task","difficulty","set","phase","condition2","blocks","blocksPhase","nTrials","pCorrect","avgRt","medRt"
"56b8de29e1d0a200051517f8","P1","first-partial","partial","easy",4,1,"partial-reversed",1,1,4,0.5,0.8855,0.896
"56b8de29e1d0a200051517f8","P1","first-partial","partial","easy",4,1,"partial-reversed",2,2,4,0.25,0.96525,0.971
"56b8de29e1d0a200051517f8","P1","first-partial","partial","easy",4,1,"partial-reversed",3,3,4,1,0.63075,0.6165
"56b8de29e1d0a200051517f8","P1","first-partial","partial","easy",4,1,"partial-reversed",4,4,4,1,0.646,0.6235
"56b8de29e1d0a200051517f8","P1","first-partial","partial","easy",4,1,"partial-reversed",5,5,4,1,0.47325,0.47
"56b8de29e1d0a200051517f8","P1","first-partial","partial","easy",4,1,"partial-reversed",6,6,4,1,0.4895,0.489
"56b8de29e1d0a200051517f8","P1","first-partial","partial","easy",4,1,"partial-nonreversed",1,1,4,0.5,0.822,0.7685
"56b8de29e1d0a200051517f8","P1","first-partial","partial","easy",4,1,"partial-nonreversed",2,2,4,0.75,0.73075,0.7705
"56b8de29e1d0a200051517f8","P1","first-partial","partial","easy",4,1,"partial-nonreversed",3,3,4,0.5,0.61725,0.579
"56b8de29e1d0a200051517f8","P1","first-partial","partial","easy",4,1,"partial-nonreversed",4,4,4,1,0.55,0.5275
"56b8de29e1d0a200051517f8","P1","first-partial","partial","easy",4,1,"partial-nonreversed",5,5,4,1,0.521,0.513
"56b8de29e1d0a200051517f8","P1","first-partial","partial","easy",4,1,"partial-nonreversed",6,6,4,1,0.526,0.515
"56b8de29e1d0a200051517f8","P1","first-partial","partial","easy",4,2,"partial-reversed",7,1,4,0,0.96575,1.0355
"56b8de29e1d0a200051517f8","P1","first-partial","partial","easy",4,2,"partial-reversed",8,2,4,0,0.94975,0.674
"56b8de29e1d0a200051517f8","P1","first-partial","partial","easy",4,2,"partial-reversed",9,3,4,0.75,0.63725,0.652
"56b8de29e1d0a200051517f8","P1","first-partial","partial","easy",4,2,"partial-reversed",10,4,4,0.75,0.5555,0.5885
"56b8de29e1d0a200051517f8","P1","first-partial","partial","easy",4,2,"partial-reversed",11,5,4,1,0.548,0.5715
"56b8de29e1d0a200051517f8","P1","first-partial","partial","easy",4,2,"partial-reversed",12,6,4,1,0.527,0.5355
"56b8de29e1d0a200051517f8","P1","first-partial","partial","easy",4,2,"partial-nonreversed",7,1,4,0.75,0.60225,0.5145
"56b8de29e1d0a200051517f8","P1","first-partial","partial","easy",4,2,"partial-nonreversed",8,2,4,1,0.7375,0.773
"56b8de29e1d0a200051517f8","P1","first-partial","partial","easy",4,2,"partial-nonreversed",9,3,4,0.75,0.624,0.629
"56b8de29e1d0a200051517f8","P1","first-partial","partial","easy",4,2,"partial-nonreversed",10,4,4,0.75,0.6915,0.6905
"56b8de29e1d0a200051517f8","P1","first-partial","partial","easy",4,2,"partial-nonreversed",11,5,4,1,0.51625,0.508
"56b8de29e1d0a200051517f8","P1","first-partial","partial","easy",4,2,"partial-nonreversed",12,6,4,1,0.52,0.53
"56b8de29e1d0a200051517f8","P1","first-partial","total","easy",4,1,"total-reversed",1,1,8,0.375,0.700125,0.698
"56b8de29e1d0a200051517f8","P1","first-partial","total","easy",4,1,"total-reversed",2,2,8,0.875,0.525625,0.5405
"56b8de29e1d0a200051517f8","P1","first-partial","total","easy",4,1,"total-reversed",3,3,8,0.625,0.491625,0.4915
"56b8de29e1d0a200051517f8","P1","first-partial","total","easy",4,1,"total-reversed",4,4,8,1,0.59825,0.543
"56b8de29e1d0a200051517f8","P1","first-partial","total","easy",4,1,"total-reversed",5,5,8,1,0.543,0.556
"56b8de29e1d0a200051517f8","P1","first-partial","total","easy",4,1,"total-reversed",6,6,8,1,0.549375,0.541
"56b8de29e1d0a200051517f8","P1","first-partial","total","easy",4,2,"total-reversed",7,1,8,0.375,0.652625,0.665
"56b8de29e1d0a200051517f8","P1","first-partial","total","easy",4,2,"total-reversed",8,2,8,1,0.637875,0.6785
"56b8de29e1d0a200051517f8","P1","first-partial","total","easy",4,2,"total-reversed",9,3,8,0.75,0.617875,0.6175
"56b8de29e1d0a200051517f8","P1","first-partial","total","easy",4,2,"total-reversed",10,4,8,1,0.5575,0.523
"56b8de29e1d0a200051517f8","P1","first-partial","total","easy",4,2,"total-reversed",11,5,8,0.875,0.47575,0.496
"56b8de29e1d0a200051517f8","P1","first-partial","total","easy",4,2,"total-reversed",12,6,8,0.875,0.453625,0.42
"57a78015454e5400015f57ec","P2","first-partial","partial","easy",2,1,"partial-reversed",1,1,4,0.25,1.8287,1.829
"57a78015454e5400015f57ec","P2","first-partial","partial","easy",2,1,"partial-reversed",2,2,4,0.75,1.3853,1.3484
"57a78015454e5400015f57ec","P2","first-partial","partial","easy",2,1,"partial-reversed",3,3,4,1,1.300375,1.18025
"57a78015454e5400015f57ec","P2","first-partial","partial","easy",2,1,"partial-reversed",4,4,4,0.75,1.337475,1.41225
"57a78015454e5400015f57ec","P2","first-partial","partial","easy",2,1,"partial-reversed",5,5,4,0.5,1.2914,1.34035
"57a78015454e5400015f57ec","P2","first-partial","partial","easy",2,1,"partial-reversed",6,6,4,1,1.128225,1.0073
"57a78015454e5400015f57ec","P2","first-partial","partial","easy",2,1,"partial-nonreversed",1,1,4,0.75,2.286175,1.6652
"57a78015454e5400015f57ec","P2","first-partial","partial","easy",2,1,"partial-nonreversed",2,2,4,0.5,1.42735,1.5141
"57a78015454e5400015f57ec","P2","first-partial","partial","easy",2,1,"partial-nonreversed",3,3,4,0.75,1.25405,1.25705
"57a78015454e5400015f57ec","P2","first-partial","partial","easy",2,1,"partial-nonreversed",4,4,4,0.25,0.998975,0.994
"57a78015454e5400015f57ec","P2","first-partial","partial","easy",2,1,"partial-nonreversed",5,5,4,0.5,1.29845,1.256
"57a78015454e5400015f57ec","P2","first-partial","partial","easy",2,1,"partial-nonreversed",6,6,4,0.5,1.394575,1.4862
"57a78015454e5400015f57ec","P2","first-partial","partial","easy",2,2,"partial-reversed",7,1,4,0.25,1.1734,1.10095
"57a78015454e5400015f57ec","P2","first-partial","partial","easy",2,2,"partial-reversed",8,2,4,1,1.4752,1.16485
"57a78015454e5400015f57ec","P2","first-partial","partial","easy",2,2,"partial-reversed",9,3,4,0.75,1.080375,1.0798
"57a78015454e5400015f57ec","P2","first-partial","partial","easy",2,2,"partial-reversed",10,4,4,0.75,1.397825,1.37475
"57a78015454e5400015f57ec","P2","first-partial","partial","easy",2,2,"partial-reversed",11,5,4,1,1.163925,1.08095
"57a78015454e5400015f57ec","P2","first-partial","partial","easy",2,2,"partial-reversed",12,6,4,1,1.35045,1.33735
"57a78015454e5400015f57ec","P2","first-partial","partial","easy",2,2,"partial-nonreversed",7,1,3,0.333333333333333,1.2423,1.3473
"57a78015454e5400015f57ec","P2","first-partial","partial","easy",2,2,"partial-nonreversed",8,2,4,0.75,0.9659,1.15585
"57a78015454e5400015f57ec","P2","first-partial","partial","easy",2,2,"partial-nonreversed",9,3,4,0.5,1.549925,1.365
"57a78015454e5400015f57ec","P2","first-partial","partial","easy",2,2,"partial-nonreversed",10,4,4,0.25,1.356475,1.37165
"57a78015454e5400015f57ec","P2","first-partial","partial","easy",2,2,"partial-nonreversed",11,5,4,0.75,1.21505,1.24575
"57a78015454e5400015f57ec","P2","first-partial","partial","easy",2,2,"partial-nonreversed",12,6,4,1,1.347525,1.3515
"57a78015454e5400015f57ec","P2","first-partial","total","easy",2,1,"total-reversed",1,1,8,0,1.32295,1.2886
"57a78015454e5400015f57ec","P2","first-partial","total","easy",2,1,"total-reversed",2,2,8,0.625,1.1713375,1.1782
"57a78015454e5400015f57ec","P2","first-partial","total","easy",2,1,"total-reversed",3,3,8,0.75,1.179125,1.23875
"57a78015454e5400015f57ec","P2","first-partial","total","easy",2,1,"total-reversed",4,4,8,0.75,1.12955,1.1642
"57a78015454e5400015f57ec","P2","first-partial","total","easy",2,1,"total-reversed",5,5,8,0.75,1.2086375,1.16435
"57a78015454e5400015f57ec","P2","first-partial","total","easy",2,1,"total-reversed",6,6,8,0.75,1.40165,1.19
"57a78015454e5400015f57ec","P2","first-partial","total","easy",2,2,"total-reversed",7,1,8,0.375,1.245575,1.25655
"57a78015454e5400015f57ec","P2","first-partial","total","easy",2,2,"total-reversed",8,2,8,0.5,1.51955,1.2383
"57a78015454e5400015f57ec","P2","first-partial","total","easy",2,2,"total-reversed",9,3,8,0.625,1.38845,1.16115
"57a78015454e5400015f57ec","P2","first-partial","total","easy",2,2,"total-reversed",10,4,8,0.375,1.305775,1.25385
"57a78015454e5400015f57ec","P2","first-partial","total","easy",2,2,"total-reversed",11,5,8,0.625,1.2295875,1.2497
"57a78015454e5400015f57ec","P2","first-partial","total","easy",2,2,"total-reversed",12,6,8,0.625,1.342,1.33615
"59ae8d282a78fd00010b80e7","P3","first-total","partial","easy",7,1,"partial-reversed",1,1,4,0.5,0.5815,0.5755
"59ae8d282a78fd00010b80e7","P3","first-total","partial","easy",7,1,"partial-reversed",2,2,4,0.75,0.51,0.522
"59ae8d282a78fd00010b80e7","P3","first-total","partial","easy",7,1,"partial-reversed",3,3,4,1,0.45925,0.4545
"59ae8d282a78fd00010b80e7","P3","first-total","partial","easy",7,1,"partial-reversed",4,4,4,0.5,0.4745,0.457
"59ae8d282a78fd00010b80e7","P3","first-total","partial","easy",7,1,"partial-reversed",5,5,4,0.75,0.4205,0.434
"59ae8d282a78fd00010b80e7","P3","first-total","partial","easy",7,1,"partial-reversed",6,6,4,0.75,0.4395,0.4365
"59ae8d282a78fd00010b80e7","P3","first-total","partial","easy",7,1,"partial-nonreversed",1,1,4,0.75,0.59925,0.599
"59ae8d282a78fd00010b80e7","P3","first-total","partial","easy",7,1,"partial-nonreversed",2,2,4,1,0.531,0.5375
"59ae8d282a78fd00010b80e7","P3","first-total","partial","easy",7,1,"partial-nonreversed",3,3,4,0.5,0.4495,0.4335
"59ae8d282a78fd00010b80e7","P3","first-total","partial","easy",7,1,"partial-nonreversed",4,4,4,0.75,0.48225,0.5015
"59ae8d282a78fd00010b80e7","P3","first-total","partial","easy",7,1,"partial-nonreversed",5,5,4,0.75,0.4985,0.507
"59ae8d282a78fd00010b80e7","P3","first-total","partial","easy",7,1,"partial-nonreversed",6,6,4,0.75,0.47125,0.49
"59ae8d282a78fd00010b80e7","P3","first-total","partial","easy",7,2,"partial-reversed",7,1,4,0.5,0.5125,0.499
"59ae8d282a78fd00010b80e7","P3","first-total","partial","easy",7,2,"partial-reversed",8,2,4,0.5,0.46225,0.4755
"59ae8d282a78fd00010b80e7","P3","first-total","partial","easy",7,2,"partial-reversed",9,3,4,0.5,0.5685,0.598
"59ae8d282a78fd00010b80e7","P3","first-total","partial","easy",7,2,"partial-reversed",10,4,4,0.5,0.48175,0.4735
"59ae8d282a78fd00010b80e7","P3","first-total","partial","easy",7,2,"partial-reversed",11,5,4,0.25,0.5625,0.566
"59ae8d282a78fd00010b80e7","P3","first-total","partial","easy",7,2,"partial-reversed",12,6,4,0.25,0.47,0.476
"59ae8d282a78fd00010b80e7","P3","first-total","partial","easy",7,2,"partial-nonreversed",7,1,4,0.25,0.48225,0.495
"59ae8d282a78fd00010b80e7","P3","first-total","partial","easy",7,2,"partial-nonreversed",8,2,4,0.5,0.46275,0.409
"59ae8d282a78fd00010b80e7","P3","first-total","partial","easy",7,2,"partial-nonreversed",9,3,4,0.75,0.4335,0.432
"59ae8d282a78fd00010b80e7","P3","first-total","partial","easy",7,2,"partial-nonreversed",10,4,4,1,0.49,0.487
