tasksRows,trialsRows,eachBlock,task,phase,Exemplars,r_correct,task.thisRepN,task.thisTrialN,task.thisN,task.thisIndex,phase.thisRepN,phase.thisTrialN,phase.thisN,phase.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,infCons.started,informed_consent.started,resp_consent.started,infCons.stopped,resp_consent.keys,resp_consent.rt,resp_consent.duration,instructions.started,text_instructions.started,resp_instructions.started,instructions.stopped,resp_instructions.keys,resp_instructions.rt,resp_instructions.duration,nextTask.started,next_task_ready.started,ready_task.started,nextTask.stopped,ready_task.keys,ready_task.rt,ready_task.duration,fixation.started,ITI,text_fixation.started,text_fixation.stopped,fixation.stopped,stim.started,stimulus.started,response_northern_text.started,response_southern_text.started,response.started,stim.stopped,response.keys,response.corr,response.rt,response.duration,feedback.started,feedback_text.started,correct_tone.started,incorrect_tone.started,correct_tone.stopped,incorrect_tone.stopped,feedback.stopped,feedback_text.stopped,end.started,text_end.started,resp_end.started,end.stopped,resp_end.keys,resp_end.rt,resp_end.duration,participant,session,Age?,Gender?,Nationality?,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,0.009137500077486038,0.02284230012446642,0.02284230012446642,4.782325800042599,space,4.754631400108337,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,santTest,001,32,Masc,Mex,2024-02-18_12h51.39.739,CatRev1_within,2023.2.3,59.985627362177276,2024-02-18 12h52.15.989326 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.782410100102425,4.801119900075719,4.801119900075719,8.275930100120604,space,3.4613568000495434,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,santTest,001,32,Masc,Mex,2024-02-18_12h51.39.739,CatRev1_within,2023.2.3,59.985627362177276,2024-02-18 12h52.15.989326 -0500,
 2:4, 32:48,6,partial,1,images/Ex11.jpg,left,0,0,0,1,0,0,0,0,0,0,0,10,10.441892100032419,,,,,,,,,,,,,,,,8.28990270011127,8.30384170007892,8.30384170007892,10.391271100146696,space,2.0694532999768853,None,10.430014200042933,0.9,10.441892100032419,11.477012800052762,11.339830999961123,11.339886100031435,11.477012800052762,11.477012800052762,11.477012800052762,0.05815779999829829,12.49268290004693,right,0,1.092001099837944,None,12.49394810013473,12.516134500037879,12.507279750006273,12.507279750006273,12.730766300112009,12.730766300112009,13.505560199962929,,,,,,,,,santTest,001,32,Masc,Mex,2024-02-18_12h51.39.739,CatRev1_within,2023.2.3,59.985627362177276,2024-02-18 12h52.15.989326 -0500,
 2:4, 32:48,6,partial,1,images/Ex11.jpg,left,0,0,0,1,0,0,0,0,0,1,1,2,13.521721800090745,,,,,,,,,,,,,,,,,,,,,,,13.50661880010739,0.6,13.521721800090745,14.200382000068203,14.118566400138661,14.118634900078177,14.200382000068203,14.200382000068203,14.200382000068203,0.06202009995467961,17.355786900036037,right,0,3.1587002999149263,None,17.357209000037983,17.382605700055137,17.36939694993198,17.36939694993198,,,18.363574099959806,,,,,,,,,santTest,001,32,Masc,Mex,2024-02-18_12h51.39.739,CatRev1_within,2023.2.3,59.985627362177276,2024-02-18 12h52.15.989326 -0500,
 2:4, 32:48,6,partial,1,images/Ex13.jpg,right,0,0,0,1,0,0,0,0,0,2,2,12,18.382865600055084,,,,,,,,,,,,,,,,,,,,,,,18.364588800119236,1.2,18.382865600055084,21.095279900124297,20.990722400136292,20.990795799996704,21.095279900124297,21.095279900124297,21.095279900124297,0.06612490001134574,21.879698500037193,right,1,0.8094529001973569,None,21.880482899956405,21.916806400055066,21.909411100065334,21.909411100065334,22.14381769997999,22.14381769997999,22.88595169992186,,,,,,,,,santTest,001,32,Masc,Mex,2024-02-18_12h51.39.739,CatRev1_within,2023.2.3,59.985627362177276,2024-02-18 12h52.15.989326 -0500,
 2:4, 32:48,6,partial,1,images/Ex9.jpg,left,0,0,0,1,0,0,0,0,0,3,3,0,22.90226830006577,,,,,,,,,,,,,,,,,,,,,,,22.88706380012445,1.4,22.90226830006577,24.36843780009076,24.287111700046808,24.287186600035056,24.36843780009076,24.36843780009076,24.36843780009076,0.05785509990528226,25.189866200089455,right,0,0.8346621999517083,None,25.191279000137,25.22075799992308,25.2193908999674,25.2193908999674,25.49324270011857,25.49324270011857,26.202355799963698,,,,,,,,,santTest,001,32,Masc,Mex,2024-02-18_12h51.39.739,CatRev1_within,2023.2.3,59.985627362177276,2024-02-18 12h52.15.989326 -0500,
 2:4, 32:48,6,partial,1,images/Ex9.jpg,left,0,0,0,1,0,0,0,0,0,4,4,8,26.218816200038418,,,,,,,,,,,,,,,,,,,,,,,26.203438200056553,0.8,26.218816200038418,27.06683719996363,27.003944399999455,27.004016800085083,27.06683719996363,27.06683719996363,27.06683719996363,0.04139000014401972,28.070169599959627,left,1,1.0126736001111567,None,28.07096639997326,28.098842600127682,28.101081400038673,28.101081400038673,28.340208699926734,28.340208699926734,29.08574360003695,,,,,,,,,santTest,001,32,Masc,Mex,2024-02-18_12h51.39.739,CatRev1_within,2023.2.3,59.985627362177276,2024-02-18 12h52.15.989326 -0500,
 2:4, 32:48,6,partial,1,images/Ex14.jpg,right,0,0,0,1,0,0,0,0,0,5,5,5,29.102258200058714,,,,,,,,,,,,,,,,,,,,,,,29.086994900135323,1.5,29.102258200058714,30.680518300039694,30.58727869996801,30.587353199953213,30.680518300039694,30.680518300039694,30.680518300039694,0.07186899986118078,31.552164500113577,left,0,0.8864621999673545,None,31.55300740012899,31.5713089001365,31.566644049994647,31.566644049994647,31.838717699982226,31.838717699982226,32.56894399994053,,,,,,,,,santTest,001,32,Masc,Mex,2024-02-18_12h51.39.739,CatRev1_within,2023.2.3,59.985627362177276,2024-02-18 12h52.15.989326 -0500,
 2:4, 32:48,6,partial,1,images/Ex10.jpg,left,0,0,0,1,0,0,0,0,0,6,6,9,32.58504100004211,,,,,,,,,,,,,,,,,,,,,,,32.570100100012496,0.7,32.58504100004211,33.361992500023916,33.270309899933636,33.27038250002079,33.361992500023916,33.361992500023916,33.361992500023916,0.0704909001942724,34.239765000063926,left,1,0.8956536999903619,None,34.24057799996808,34.264559200033545,34.25428615002893,34.25428615002893,34.488703300012276,34.488703300012276,35.25241530011408,,,,,,,,,santTest,001,32,Masc,Mex,2024-02-18_12h51.39.739,CatRev1_within,2023.2.3,59.985627362177276,2024-02-18 12h52.15.989326 -0500,
 2:4, 32:48,6,partial,1,images/Ex13.jpg,right,0,0,0,1,0,0,0,0,0,7,7,4,35.268312599975616,,,,,,,,,,,,,,,,,,,,,,,35.2535640001297,1.5,35.268312599975616,36.82021289994009,36.75343189993873,36.75350930006243,36.82021289994009,36.82021289994009,36.82021289994009,0.04471080005168915,37.77035879995674,right,1,0.9604414999485016,None,37.771213199943304,37.79459180007689,37.78501174999401,37.78501174999401,37.98754910007119,37.98754910007119,38.7855762001127,,,,,,,,,santTest,001,32,Masc,Mex,2024-02-18_12h51.39.739,CatRev1_within,2023.2.3,59.985627362177276,2024-02-18 12h52.15.989326 -0500,
