tasksRows,trialsRows,eachBlock,task,phase,Exemplars,r_correct,task.thisRepN,task.thisTrialN,task.thisN,task.thisIndex,phase.thisRepN,phase.thisTrialN,phase.thisN,phase.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,infCons.started,informed_consent.started,resp_consent.started,infCons.stopped,resp_consent.keys,resp_consent.rt,resp_consent.duration,instructions.started,text_instructions.started,resp_instructions.started,instructions.stopped,resp_instructions.keys,resp_instructions.rt,resp_instructions.duration,nextTask.started,next_task_ready.started,ready_task.started,nextTask.stopped,ready_task.keys,ready_task.rt,ready_task.duration,fixation.started,ITI,text_fixation.started,text_fixation.stopped,fixation.stopped,stim.started,stimulus.started,response_northern_text.started,response_southern_text.started,response.started,stim.stopped,response.keys,response.corr,response.rt,response.duration,feedback.started,feedback_text.started,correct_tone.started,incorrect_tone.started,feedback.stopped,correct_tone.stopped,incorrect_tone.stopped,feedback_text.stopped,end.started,text_end.started,resp_end.started,end.stopped,resp_end.keys,resp_end.rt,resp_end.duration,participant,session,Age?,Gender?,Nationality?,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,0.003866499988362193,0.013098499970510602,0.013098499970510602,180.35806369991042,space,180.32785820006393,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sophTest,001,25,F,German,2024-02-20_18h19.28.442,CatRev1_within,2023.2.3,59.98152574491557,2024-02-20 18h19.53.030400 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.35810469998978,180.37248379993252,180.37248379993252,261.5690695999656,space,81.18372060009278,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sophTest,001,25,F,German,2024-02-20_18h19.28.442,CatRev1_within,2023.2.3,59.98152574491557,2024-02-20 18h19.53.030400 -0500,
 2:4, 32:48,6,partial,1,images/Ex16.jpg,right,0,0,0,1,0,0,0,0,0,0,0,7,267.3922335000243,,,,,,,,,,,,,,,,261.57548770005815,261.58400649996474,261.58400649996474,267.36790980002843,space,5.771163299912587,None,267.38587619992904,0.8,267.3922335000243,268.2629941999912,268.1840637999121,268.18408389994875,268.2629941999912,268.2629941999912,268.2629941999912,0.030257200123742223,269.53704429999925,right,1,1.307586600072682,None,269.53777389996685,269.5605472000316,269.56937648006715,269.56937648006715,270.5504288999364,,,,,,,,,,,sophTest,001,25,F,German,2024-02-20_18h19.28.442,CatRev1_within,2023.2.3,59.98152574491557,2024-02-20 18h19.53.030400 -0500,
 2:4, 32:48,6,partial,1,images/Ex14.jpg,right,0,0,0,1,0,0,0,0,0,1,1,5,270.5669155998621,,,,,,,,,,,,,,,,,,,,,,,270.55079249991104,1.2,270.5669155998621,271.7873875000514,271.75051239994355,271.7505307998508,271.7873875000514,271.7873875000514,271.7873875000514,0.02658269996754825,274.12017069989815,left,0,2.3288335998076946,None,274.120621799957,274.133372399956,274.1356837399071,274.1356837399071,275.1174468998797,274.3909195999149,274.3909195999149,275.1334959999658,,,,,,,,sophTest,001,25,F,German,2024-02-20_18h19.28.442,CatRev1_within,2023.2.3,59.98152574491557,2024-02-20 18h19.53.030400 -0500,
 2:4, 32:48,6,partial,1,images/Ex13.jpg,right,0,0,0,1,0,0,0,0,0,2,2,12,275.1334959999658,,,,,,,,,,,,,,,,,,,,,,,275.11780259991065,0.7,275.1334959999658,275.8497206000611,275.8169617999811,275.8169803000055,275.8497206000611,275.8497206000611,275.8497206000611,0.023040000116452575,276.9365085000172,left,0,1.082024300005287,None,276.9369725000579,276.9498234000057,276.95225004001986,276.95225004001986,277.9335779999383,277.192555999849,277.192555999849,277.9497543000616,,,,,,,,sophTest,001,25,F,German,2024-02-20_18h19.28.442,CatRev1_within,2023.2.3,59.98152574491557,2024-02-20 18h19.53.030400 -0500,
 2:4, 32:48,6,partial,1,images/Ex11.jpg,left,0,0,0,1,0,0,0,0,0,3,3,10,277.9497543000616,,,,,,,,,,,,,,,,,,,,,,,277.9339238998946,0.6,277.9497543000616,278.5687702000141,278.533777799923,278.5337944000494,278.5687702000141,278.5687702000141,278.5687702000141,0.024979100096970797,279.41963889985345,right,0,0.8475798999425024,None,279.4201022000052,279.43297369987704,279.43540724006016,279.43540724006016,280.4168346999213,,,280.4328584000468,,,,,,,,sophTest,001,25,F,German,2024-02-20_18h19.28.442,CatRev1_within,2023.2.3,59.98152574491557,2024-02-20 18h19.53.030400 -0500,
 2:4, 32:48,6,partial,1,images/Ex15.jpg,right,0,0,0,1,0,0,0,0,0,4,4,14,280.4328584000468,,,,,,,,,,,,,,,,,,,,,,,280.4171948998701,0.6,280.4328584000468,281.0511816998478,281.0167286999058,281.016749399947,281.0511816998478,281.0511816998478,281.0511816998478,0.024667700054123998,282.31965339998715,right,1,1.2681386999320239,None,282.3201035000384,282.3346913000569,282.3353411400458,282.3353411400458,283.3328996999189,282.5538520999253,282.5538520999253,,,,,,,,,sophTest,001,25,F,German,2024-02-20_18h19.28.442,CatRev1_within,2023.2.3,59.98152574491557,2024-02-20 18h19.53.030400 -0500,
 2:4, 32:48,6,partial,1,images/Ex16.jpg,right,0,0,0,1,0,0,0,0,0,5,5,15,283.34938589995727,,,,,,,,,,,,,,,,,,,,,,,283.3332626000047,1.3,283.34938589995727,284.65912039997056,284.63319580000825,284.6332149999216,284.65912039997056,284.65912039997056,284.65912039997056,0.016445100074633956,286.08615990006365,right,1,1.42437390005216,None,286.08660929999314,286.0994667999912,286.1019243398914,286.1019243398914,287.0835102000274,,,287.0995668999385,,,,,,,,sophTest,001,25,F,German,2024-02-20_18h19.28.442,CatRev1_within,2023.2.3,59.98152574491557,2024-02-20 18h19.53.030400 -0500,
 2:4, 32:48,6,partial,1,images/Ex13.jpg,right,0,0,0,1,0,0,0,0,0,6,6,4,287.0995668999385,,,,,,,,,,,,,,,,,,,,,,,287.0838679999579,0.7,287.0995668999385,287.80715689994395,287.78303499985486,287.7830546000041,287.80715689994395,287.80715689994395,287.80715689994395,0.014382599852979183,289.13594090007246,left,0,1.3257965000811964,None,289.1363838999532,289.1492319998797,289.1516573400004,289.1516573400004,290.1329646999948,289.39107510005124,289.39107510005124,290.1490356998984,,,,,,,,sophTest,001,25,F,German,2024-02-20_18h19.28.442,CatRev1_within,2023.2.3,59.98152574491557,2024-02-20 18h19.53.030400 -0500,
 2:4, 32:48,6,partial,1,images/Ex9.jpg,left,0,0,0,1,0,0,0,0,0,7,7,8,290.1490356998984,,,,,,,,,,,,,,,,,,,,,,,290.1333293998614,0.5,290.1490356998984,290.6632695000153,290.63302159984596,290.6330416998826,290.6632695000153,290.6632695000153,290.6632695000153,0.020735800033435225,291.7197742999997,right,0,1.0645006999839097,None,291.7202719999477,291.7324866000563,291.73504654003773,291.73504654003773,292.71613959991373,291.96461639995687,291.96461639995687,292.73226940003224,,,,,,,,sophTest,001,25,F,German,2024-02-20_18h19.28.442,CatRev1_within,2023.2.3,59.98152574491557,2024-02-20 18h19.53.030400 -0500,
