task,phase,Exemplars,r_correct
total,1,images/Ex1.jpg,left
total,1,images/Ex2.jpg,left
total,1,images/Ex3.jpg,left
total,1,images/Ex4.jpg,left
total,1,images/Ex5.jpg,right
total,1,images/Ex6.jpg,right
total,1,images/Ex7.jpg,right
total,1,images/Ex8.jpg,right
total,1,images/Ex1.jpg,left
total,1,images/Ex2.jpg,left
total,1,images/Ex3.jpg,left
total,1,images/Ex4.jpg,left
total,1,images/Ex5.jpg,right
total,1,images/Ex6.jpg,right
total,1,images/Ex7.jpg,right
total,1,images/Ex8.jpg,right
total,2,images/Ex1.jpg,right
total,2,images/Ex2.jpg,right
total,2,images/Ex3.jpg,right
total,2,images/Ex4.jpg,right
total,2,images/Ex5.jpg,left
total,2,images/Ex6.jpg,left
total,2,images/Ex7.jpg,left
total,2,images/Ex8.jpg,left
total,2,images/Ex1.jpg,right
total,2,images/Ex2.jpg,right
total,2,images/Ex3.jpg,right
total,2,images/Ex4.jpg,right
total,2,images/Ex5.jpg,left
total,2,images/Ex6.jpg,left
total,2,images/Ex7.jpg,left
total,2,images/Ex8.jpg,left
partial,1,images/Ex9.jpg,left
partial,1,images/Ex10.jpg,left
partial,1,images/Ex11.jpg,left
partial,1,images/Ex12.jpg,left
partial,1,images/Ex13.jpg,right
partial,1,images/Ex14.jpg,right
partial,1,images/Ex15.jpg,right
partial,1,images/Ex16.jpg,right
partial,1,images/Ex9.jpg,left
partial,1,images/Ex10.jpg,left
partial,1,images/Ex11.jpg,left
partial,1,images/Ex12.jpg,left
partial,1,images/Ex13.jpg,right
partial,1,images/Ex14.jpg,right
partial,1,images/Ex15.jpg,right
partial,1,images/Ex16.jpg,right
partial,2,images/Ex9.jpg,left
partial,2,images/Ex10.jpg,left
partial,2,images/Ex11.jpg,right
partial,2,images/Ex12.jpg,right
partial,2,images/Ex13.jpg,left
partial,2,images/Ex14.jpg,left
partial,2,images/Ex15.jpg,right
partial,2,images/Ex16.jpg,right
partial,2,images/Ex9.jpg,left
partial,2,images/Ex10.jpg,left
partial,2,images/Ex11.jpg,right
partial,2,images/Ex12.jpg,right
partial,2,images/Ex13.jpg,left
partial,2,images/Ex14.jpg,left
partial,2,images/Ex15.jpg,right
partial,2,images/Ex16.jpg,right
