task,phase,Exemplars,r_correct,condition
total,1,images/Ex13.jpg,left,training
total,1,images/Ex13.jpg,left,training
total,1,images/Ex14.jpg,left,training
total,1,images/Ex14.jpg,left,training
total,1,images/Ex15.jpg,right,training
total,1,images/Ex15.jpg,right,training
total,1,images/Ex16.jpg,right,training
total,1,images/Ex16.jpg,right,training
total,2,images/Ex13.jpg,right,reversed
total,2,images/Ex13.jpg,right,reversed
total,2,images/Ex14.jpg,right,reversed
total,2,images/Ex14.jpg,right,reversed
total,2,images/Ex15.jpg,left,reversed
total,2,images/Ex15.jpg,left,reversed
total,2,images/Ex16.jpg,left,reversed
total,2,images/Ex16.jpg,left,reversed
partial,1,images/Ex9.jpg,left,training
partial,1,images/Ex9.jpg,left,training
partial,1,images/Ex10.jpg,left,training
partial,1,images/Ex10.jpg,left,training
partial,1,images/Ex11.jpg,right,training
partial,1,images/Ex11.jpg,right,training
partial,1,images/Ex12.jpg,right,training
partial,1,images/Ex12.jpg,right,training
partial,2,images/Ex9.jpg,left,nonreversed
partial,2,images/Ex9.jpg,left,nonreversed
partial,2,images/Ex10.jpg,right,reversed
partial,2,images/Ex10.jpg,right,reversed
partial,2,images/Ex11.jpg,right,reversed
partial,2,images/Ex11.jpg,right,reversed
partial,2,images/Ex12.jpg,left,nonreversed
partial,2,images/Ex12.jpg,left,nonreversed
