infCons.started,infCons.stopped,resp_consent.keys,resp_consent.rt,resp_consent.duration,participant,session,Age?,Gender?,Nationality?,Highest Educational Degree?,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,instructions.started,instructions.stopped,resp_instructions.keys,resp_instructions.rt,resp_instructions.duration,nextTask.started,nextTask.stopped,ready_task.keys,ready_task.rt,ready_task.duration,fixation.started,ITI,fixation.stopped,stim.started,stim.stopped,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,task,exemplarLeft,exemplarRight,left,right,end.started,end.stopped,resp_end.keys,resp_end.rt,resp_end.duration
0.000300001,32.0154,space,29.9898,0.000200001,794967,001,44,male,british,hnd,2024-11-07_15h04.11.847,CatSimMDS,2023.2.3,Win32,0.495343769,5bd0d2c1263e0a00016d3c7c,672bf50eac1463c2ad3c747f,672cd6b83e0961477a1b1d7e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,794967,001,44,male,british,hnd,2024-11-07_15h04.11.847,CatSimMDS,2023.2.3,Win32,0.495343769,5bd0d2c1263e0a00016d3c7c,672bf50eac1463c2ad3c747f,672cd6b83e0961477a1b1d7e,32.0161,34.0538,space,0.001099998,0.000400002,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,794967,001,44,male,british,hnd,2024-11-07_15h04.11.847,CatSimMDS,2023.2.3,Win32,0.495343769,5bd0d2c1263e0a00016d3c7c,672bf50eac1463c2ad3c747f,672cd6b83e0961477a1b1d7e,,,,,,34.0593,37.1025,space,2.032799999,0.000299999,37.1095,1.4,39.1314,39.1317,46.2294,3.983333333,7.095299999,0,0,0,42,1,1_to_8,images/Ex7.jpg,images/Ex1.jpg,Ex7,Ex1,,,,,
,,,,,794967,001,44,male,british,hnd,2024-11-07_15h04.11.847,CatSimMDS,2023.2.3,Win32,0.495343769,5bd0d2c1263e0a00016d3c7c,672bf50eac1463c2ad3c747f,672cd6b83e0961477a1b1d7e,,,,,,,,,,,46.2297,1.1,47.236,47.236,52.3139,3.983333333,5.076799999,0,1,1,6,1,1_to_8,images/Ex1.jpg,images/Ex8.jpg,Ex1,Ex8,,,,,
,,,,,794967,001,44,male,british,hnd,2024-11-07_15h04.11.847,CatSimMDS,2023.2.3,Win32,0.495343769,5bd0d2c1263e0a00016d3c7c,672bf50eac1463c2ad3c747f,672cd6b83e0961477a1b1d7e,,,,,,,,,,,52.3143,0.8,53.3361,53.3361,57.3942,3.983333333,4.0559,0,2,2,30,1,1_to_8,images/Ex5.jpg,images/Ex3.jpg,Ex5,Ex3,,,,,
,,,,,794967,001,44,male,british,hnd,2024-11-07_15h04.11.847,CatSimMDS,2023.2.3,Win32,0.495343769,5bd0d2c1263e0a00016d3c7c,672bf50eac1463c2ad3c747f,672cd6b83e0961477a1b1d7e,,,,,,,,,,,57.3947,0.9,58.4152,58.4153,62.4698,4.991666667,4.052199999,0,3,3,36,1,1_to_8,images/Ex6.jpg,images/Ex2.jpg,Ex6,Ex2,,,,,
,,,,,794967,001,44,male,british,hnd,2024-11-07_15h04.11.847,CatSimMDS,2023.2.3,Win32,0.495343769,5bd0d2c1263e0a00016d3c7c,672bf50eac1463c2ad3c747f,672cd6b83e0961477a1b1d7e,,,,,,,,,,,62.4703,0.8,63.4892,63.4893,74.691,3.025,11.1997,0,4,4,16,1,1_to_8,images/Ex3.jpg,images/Ex4.jpg,Ex3,Ex4,,,,,
,,,,,794967,001,44,male,british,hnd,2024-11-07_15h04.11.847,CatSimMDS,2023.2.3,Win32,0.495343769,5bd0d2c1263e0a00016d3c7c,672bf50eac1463c2ad3c747f,672cd6b83e0961477a1b1d7e,,,,,,,,,,,74.6916,0.6,74.6917,74.6917,78.7639,3.966666667,4.07,0,5,5,1,1,1_to_8,images/Ex1.jpg,images/Ex3.jpg,Ex1,Ex3,,,,,
,,,,,794967,001,44,male,british,hnd,2024-11-07_15h04.11.847,CatSimMDS,2023.2.3,Win32,0.495343769,5bd0d2c1263e0a00016d3c7c,672bf50eac1463c2ad3c747f,672cd6b83e0961477a1b1d7e,,,,,,,,,,,78.7643,1.5,79.7721,79.7722,85.8569,3.008333333,6.0826,0,6,6,0,1,1_to_8,images/Ex1.jpg,images/Ex2.jpg,Ex1,Ex2,,,,,
,,,,,794967,001,44,male,british,hnd,2024-11-07_15h04.11.847,CatSimMDS,2023.2.3,Win32,0.495343769,5bd0d2c1263e0a00016d3c7c,672bf50eac1463c2ad3c747f,672cd6b83e0961477a1b1d7e,,,,,,,,,,,85.8575,0.7,85.8577,85.8577,90.9396,3.008333333,5.079799999,0,7,7,32,1,1_to_8,images/Ex5.jpg,images/Ex6.jpg,Ex5,Ex6,,,,,
,,,,,794967,001,44,male,british,hnd,2024-11-07_15h04.11.847,CatSimMDS,2023.2.3,Win32,0.495343769,5bd0d2c1263e0a00016d3c7c,672bf50eac1463c2ad3c747f,672cd6b83e0961477a1b1d7e,,,,,,,,,,,90.9401,1.3,91.9586,91.9587,96.0208,3.983333333,4.060700001,0,8,8,20,1,1_to_8,images/Ex3.jpg,images/Ex8.jpg,Ex3,Ex8,,,,,
