task,exemplarLeft,exemplarRight,left,right
1_to_8,../images/Ex1.jpg,../images/Ex2.jpg,Ex1,Ex2
1_to_8,../images/Ex1.jpg,../images/Ex2.jpg,Ex1,Ex2
1_to_8,../images/Ex1.jpg,../images/Ex2.jpg,Ex1,Ex2
1_to_8,../images/Ex1.jpg,../images/Ex2.jpg,Ex1,Ex2
1_to_8,../images/Ex1.jpg,../images/Ex2.jpg,Ex1,Ex2
1_to_8,../images/Ex1.jpg,../images/Ex2.jpg,Ex1,Ex2
1_to_8,../images/Ex1.jpg,../images/Ex2.jpg,Ex1,Ex2
1_to_8,../images/Ex1.jpg,../images/Ex2.jpg,Ex1,Ex2
1_to_8,../images/Ex1.jpg,../images/Ex2.jpg,Ex1,Ex2
1_to_8,../images/Ex1.jpg,../images/Ex2.jpg,Ex1,Ex2
9_to_16,../images/Ex9.jpg,../images/Ex10.jpg,Ex9,Ex10
9_to_16,../images/Ex9.jpg,../images/Ex10.jpg,Ex9,Ex10
9_to_16,../images/Ex9.jpg,../images/Ex10.jpg,Ex9,Ex10
9_to_16,../images/Ex9.jpg,../images/Ex10.jpg,Ex9,Ex10
9_to_16,../images/Ex9.jpg,../images/Ex10.jpg,Ex9,Ex10
9_to_16,../images/Ex9.jpg,../images/Ex10.jpg,Ex9,Ex10
9_to_16,../images/Ex9.jpg,../images/Ex10.jpg,Ex9,Ex10
9_to_16,../images/Ex9.jpg,../images/Ex10.jpg,Ex9,Ex10
9_to_16,../images/Ex9.jpg,../images/Ex10.jpg,Ex9,Ex10
9_to_16,../images/Ex9.jpg,../images/Ex10.jpg,Ex9,Ex10
