"partId","exemplars","Ex1","Ex2","Ex3","Ex4","Ex5","Ex6","Ex7","Ex8","Ex9","Ex10","Ex11","Ex12","Ex13","Ex14","Ex15","Ex16"
"parID_1","Ex1",,4.030679077,6.964390093,6.02757493,3.00511323,6.964390093,6.969320247,3.991234453,,,,,,,,
"parID_1","Ex2",4.035609984,,4.030679077,5.993060838,5.993060838,6.993973278,4.982286208,3.00511323,,,,,,,,
"parID_1","Ex3",6.042366899,2.955807169,,2.96566823,6.969320247,7.989956316,7.033418277,6.929876,,,,,,,,
"parID_1","Ex4",6.022644023,7.013696154,6.012782962,,7.989956316,7.940650254,6.012782962,6.984112216,,,,,,,,
"parID_1","Ex5",2.970598761,2.9607377,5.978268869,7.003835092,,5.9634769,7.275018429,6.959459186,,,,,,,,
"parID_1","Ex6",5.988129931,6.979182061,6.0029219,6.979182061,6.007852054,,6.949598124,5.006939238,,,,,,,,
"parID_1","Ex7",4.952702646,2.955807169,7.003835092,6.969320247,8.039262377,7.058071308,,5.006939238,,,,,,,,
"parID_1","Ex8",6.949598124,4.957633177,4.967494239,6.949598124,7.023557216,5.006939238,,,,,,,,,,
"parID_1","Ex9",,,,,,,,,,4.006026046,4.972425146,6.984112216,4.035609984,5.056245299,4.977355677,1.989408445
"parID_1","Ex10",,,,,,,,,3.976442485,,3.019904822,4.050401576,3.019904822,6.989043123,4.957633177,1.989408445
"parID_1","Ex11",,,,,,,,,5.993060838,3.922205892,,6.017713869,3.991234453,6.984112216,8.049123438,6.047297054
"parID_1","Ex12",,,,,,,,,5.0365228,4.035609984,4.035609984,,3.00511323,6.993973278,5.928962808,7.038349184
"parID_1","Ex13",,,,,,,,,4.040540515,2.078159129,1.999269507,2.98539073,,3.02483573,2.014061475,1.989408445
"parID_1","Ex14",,,,,,,,,3.981373015,7.999817377,6.007852054,6.022644023,2.98539073,,5.006939238,6.993973278
"parID_1","Ex15",,,,,,,,,3.019904822,5.041453331,6.984112216,5.006939238,3.019904822,5.948684932,,4.962563708
"parID_1","Ex16",,,,,,,,,4.015887484,4.015887484,5.993060838,5.973337962,2.033783599,4.010956953,,
"parID_2","Ex1",,1.0234375,3.00390625,1.01171875,1.0234375,4.0234375,5.9453125,1,,,,,,,,
"parID_2","Ex2",1.01171875,,1.984375,1,4.984375,1.9609375,1,1.01171875,,,,,,,,
"parID_2","Ex3",3.00390625,1.0234375,,1.01171875,1.984375,6.015625,6.00390625,4.01171875,,,,,,,,
"parID_2","Ex4",1.984375,1.99609375,1,,5.9921875,3.0390625,1.97265625,2.91015625,,,,,,,,
"parID_2","Ex5",1.01171875,4.97265625,1.9375,2.04296875,,1,1.94921875,2.9921875,,,,,,,,
"parID_2","Ex6",5.95703125,7.94921875,3.0859375,1.97265625,1.0234375,,4.97265625,1,,,,,,,,
"parID_2","Ex7",5.96875,1.0234375,2.98046875,2.98046875,1.94921875,4.99609375,,2.98046875,,,,,,,,
"parID_2","Ex8",1,1.97265625,1.0234375,3.00390625,4.890625,7,,,,,,,,,,
"parID_2","Ex9",,,,,,,,,,1.0234375,4.0234375,2.95703125,6.0390625,5.98046875,1.0234375,1.97265625
"parID_2","Ex10",,,,,,,,,1.05859375,,1.0234375,1,2.96875,1.99609375,1.9609375,1.0703125
"parID_2","Ex11",,,,,,,,,6.953125,1.984375,,2.01953125,1.05859375,3.94140625,6.02734375,2.921875
"parID_2","Ex12",,,,,,,,,6.07421875,1.94921875,1.99609375,,1.01171875,6.015625,1.9375,6.015625
"parID_2","Ex13",,,,,,,,,3.953125,4.9609375,1,1.01171875,,1.97265625,1.0234375,1.03515625
"parID_2","Ex14",,,,,,,,,6.015625,4.97265625,2.96875,5.9921875,1.1640625,,1.9375,1.99609375
"parID_2","Ex15",,,,,,,,,1.08203125,3.953125,4.9609375,1.01171875,1.01171875,1.01171875,,1.01171875
"parID_2","Ex16",,,,,,,,,3.953125,1,2.96875,5.98046875,1.0234375,6.02734375,,
"parID_3","Ex1",,1.001582505,1.986128146,1.15395279,1.036744953,1.048465769,3.005835912,1.025024137,,,,,,,,
"parID_3","Ex2",1.001582505,,1.013303321,2.021290593,1.97440733,3.052719175,1.013303321,1.025024137,,,,,,,,
"parID_3","Ex3",1.036744953,1.013303321,,1.036744953,1.013303321,2.970673786,1.001582505,3.873173715,,,,,,,,
"parID_3","Ex4",1.048465769,1.986128146,1.997848962,,1.013303321,3.01755705,2.009569778,1.986128146,,,,,,,,
"parID_3","Ex5",1.025024137,6.955738967,1.013303321,1.962686514,,1.986128146,1.036744953,1.025024137,,,,,,,,
"parID_3","Ex6",1.001582505,3.01755705,7.998888687,1.97440733,1.036744953,,1.036744953,4.974927192,,,,,,,,
"parID_3","Ex7",2.947232154,1.036744953,2.009569778,2.021290593,1.025024137,2.994115418,,1.060186585,,,,,,,,
"parID_3","Ex8",1.013303321,1.025024137,1.025024137,1.025024137,3.990381874,1.036744953,,,,,,,,,,
"parID_3","Ex9",,,,,,,,,,1.001582505,1.013303321,2.90034889,2.947232154,1.001582505,1.001582505,1.013303321
"parID_3","Ex10",,,,,,,,,1.001582505,,1.025024137,1.025024137,1.001582505,3.978660736,1.001582505,1.001582505
"parID_3","Ex11",,,,,,,,,1.048465769,1.001582505,,1.001582505,1.071907401,3.978660736,4.98664833,4.963206698
"parID_3","Ex12",,,,,,,,,1.15395279,1.001582505,1.001582505,,1.001582505,3.005835912,1.060186585,2.923790522
"parID_3","Ex13",,,,,,,,,2.98239428,1.001582505,1.001582505,1.001582505,,1.048465769,1.013303321,1.001582505
"parID_3","Ex14",,,,,,,,,1.013303321,4.963206698,1.025024137,1.048465769,1.025024137,,1.060186585,1.025024137
"parID_3","Ex15",,,,,,,,,1.001582505,1.013303321,5.971193649,1.001582505,1.001582505,1.001582505,,1.001582505
